feature_id,stream_order,source,lat,lon,gnis_name,Shape_Length,geometry,link,from,to,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,feat_str,hja_id,segment,at_2019,at_2018,at_2017,at_2016,at_mean4
23774053,1,NHDPlus v2.1,44.21175003051758,-122.154296875,Mack Creek,0.0482716093901356,POINT (-122.154296875 44.21175003051758),23774053,0,23773415,1366.82,1,0.0,3600.0,0.2,4397.0,0.06,0.16414,0.5701699,3.0425034,-9999,2000-01-01,b'               ',0,1835176,0.12,15.212517,5.070839,23774053,Fa01,Fa,8.7649,9.264001,8.801001,8.932,8.940475
23773987,1,NHDPlus v2.1,44.24281311035156,-122.1448974609375, ,0.0226285046560959,POINT (-122.1448974609375 44.24281311035156),23773987,0,23773417,1142.49,1,0.0,3600.0,0.2,2257.0,0.06,0.16624,0.6764757,2.0650747,-9999,2000-01-01,b'               ',0,1753506,0.12,10.325374,3.4417913,23773987,Fb01,Fb,7.7602997,8.353001,7.9680004,8.069,8.037575
23773961,1,NHDPlus v2.1,44.2588005065918,-122.18084716796876, ,0.0218602087640957,POINT (-122.18084716796876 44.2588005065918),23773961,0,23773421,910.76,1,0.0,3600.0,0.2,2158.0,0.06,0.09067,0.66573805,2.1413438,-9999,2000-01-01,b'               ',0,1753497,0.12,10.706719,3.5689065,23773961,Fc01,Fc,9.1163,9.798,9.133,9.321,9.342074
23774027,1,NHDPlus v2.1,44.21795654296875,-122.2181625366211, ,0.0314885586726006,POINT (-122.2181625366211 44.21795654296875),23774027,0,23773411,1148.31,1,0.0,3600.0,0.2,2896.0,0.06,0.23712,0.69851124,1.9203528,-9999,2000-01-01,b'               ',0,1753520,0.12,9.601764,3.200588,23774027,Fd01,Fd,9.2885,9.742001,9.232,9.449,9.4278755
23773419,1,NHDPlus v2.1,44.22743988037109,-122.1230239868164,Lookout Creek,0.0506806907949854,POINT (-122.1230239868164 44.22743988037109),23773419,0,23773417,1225.27,1,0.0,3600.0,0.2,4680.0,0.06,0.09559,0.5496581,3.3059587,-9999,2000-01-01,b'               ',0,1790540,0.12,16.529795,5.5099316,23773419,Ma01,Ma,7.8961997,8.146001,7.7720003,7.8690004,7.9208
23773417,2,NHDPlus v2.1,44.23259735107422,-122.15801239013672,Lookout Creek,0.0224526290216967,POINT (-122.15801239013672 44.23259735107422),23773417,0,23773415,792.23,2,0.0,3600.0,0.2,1886.0,0.06,0.06496,0.51433957,3.8430343,-9999,2000-01-01,b'               ',0,1147028,0.12,19.21517,6.405057,23773417,Ma02,Ma,9.1163,9.798,9.133,9.321,9.342074
23773415,2,NHDPlus v2.1,44.23273086547852,-122.18798065185548,Lookout Creek,0.0410761630544936,POINT (-122.18798065185548 44.23273086547852),23773415,0,23773413,669.71,2,0.0,3600.0,0.2,3339.0,0.06,0.03723,0.4629458,4.878719,-9999,2000-01-01,b'               ',0,318438,0.12,24.393595,8.131199,23773415,Ma03,Ma,9.9184,10.325001,9.694,10.055,9.9981
23773413,3,NHDPlus v2.1,44.23090362548828,-122.21842193603516,Lookout Creek,0.0211578291252632,POINT (-122.21842193603516 44.23090362548828),23773413,0,23773411,545.39,3,0.0,3600.0,0.2,1760.0,0.055,0.02739,0.43257126,5.6899714,-9999,2000-01-01,b'               ',0,2526317,0.11,28.449858,9.483286,23773413,Ma04,Ma,9.9184,10.325001,9.694,10.055,9.9981
23773411,3,NHDPlus v2.1,44.21907043457031,-122.24479675292967,Lookout Creek,0.0421153806434739,POINT (-122.24479675292967 44.21907043457031),23773411,0,23773409,497.18,3,0.0,3600.0,0.2,3865.0,0.055,0.02049,0.42235157,6.006841,-9999,2000-01-01,b'       14161500',0,1602034,0.11,30.034204,10.011401,23773411,Ma05,Ma,10.353,10.476001,9.912001,10.461,10.300501
23773423,1,NHDPlus v2.1,44.26180267333984,-122.16267395019533,McRae Creek,0.0505289516040983,POINT (-122.16267395019533 44.26180267333984),23773423,0,23773421,1202.15,1,0.0,3600.0,0.2,4487.0,0.06,0.10917,0.5734834,3.002803,-9999,2000-01-01,b'               ',0,1778103,0.12,15.014016,5.004672,23773423,Sa01,Sa,9.1163,9.798,9.133,9.321,9.342074
23773421,2,NHDPlus v2.1,44.24227142333984,-122.19631958007812,McRae Creek,0.0302125494555284,POINT (-122.19631958007812 44.24227142333984),23773421,0,23773413,728.69,2,0.0,3600.0,0.2,2725.0,0.06,0.06727,0.5216221,3.7224925,-9999,2000-01-01,b'               ',0,1173486,0.12,18.612463,6.204154,23773421,Sa02,Sa,9.9184,10.325001,9.694,10.055,9.9981
